Begin_days  End_days  cityNamech factor corr
2013-05-25 2013-05-27 北京 CO: 0.8634044872886854
2013-05-25 2013-05-27 北京 SO2: 0.7526413207877369
2013-05-25 2013-05-27 北京 NO2: -0.0880646139681528
2013-05-25 2013-05-27 北京 O3: 0.20416446909196723
2013-05-25 2013-05-27 北京 PM10: 0.7616184040050089
2013-05-25 2013-05-27 广州 CO: 0.577664768241065
2013-05-25 2013-05-27 广州 SO2: 0.5549664543038966
2013-05-25 2013-05-27 广州 NO2: 0.4032738367479772
2013-05-25 2013-05-27 广州 O3: -0.3082431692701565
2013-05-25 2013-05-27 广州 PM10: 0.8066079182201844
2013-05-25 2013-05-27 上海 CO: 0.14089133449227295
2013-05-25 2013-05-27 上海 SO2: 0.07208525830145586
2013-05-25 2013-05-27 上海 NO2: -0.365076815143864
2013-05-25 2013-05-27 上海 O3: 0.10788804028460874
2013-05-25 2013-05-27 上海 PM10: 0.7219459898626934
2013-05-25 2013-05-27 天津 CO: 0.5501239238347819
2013-05-25 2013-05-27 天津 SO2: -0.07703052451813243
2013-05-25 2013-05-27 天津 NO2: 0.24628540959481335
2013-05-25 2013-05-27 天津 O3: -0.15576280266328202
2013-05-25 2013-05-27 天津 PM10: 0.6455649496603029
2013-05-25 2013-05-27 重庆 CO: 0.33042956017859865
2013-05-25 2013-05-27 重庆 SO2: 0.29748824238236804
2013-05-25 2013-05-27 重庆 NO2: 0.29854553429170216
2013-05-25 2013-05-27 重庆 O3: -0.6285440007829206
2013-05-25 2013-05-27 重庆 PM10: 0.5353245326575313
2013-05-25 2013-05-27 沈阳 CO: 0.6721324191008445
2013-05-25 2013-05-27 沈阳 SO2: 0.39574639947631485
2013-05-25 2013-05-27 沈阳 NO2: 0.6700834305174447
2013-05-25 2013-05-27 沈阳 O3: -0.5589406640348017
2013-05-25 2013-05-27 沈阳 PM10: 0.7201806113255675
2013-05-25 2013-05-27 南京 CO: 0.7063517570500546
2013-05-25 2013-05-27 南京 SO2: 0.5420408543368573
2013-05-25 2013-05-27 南京 NO2: 0.3387161688325725
2013-05-25 2013-05-27 南京 O3: 0.21769449487342957
2013-05-25 2013-05-27 南京 PM10: 0.9474204687628597
2013-05-25 2013-05-27 武汉 CO: 0.5049818603523579
2013-05-25 2013-05-27 武汉 SO2: 0.22440435151125182
2013-05-25 2013-05-27 武汉 NO2: 0.9247754781120088
2013-05-25 2013-05-27 武汉 O3: -0.18540089400586018
2013-05-25 2013-05-27 武汉 PM10: 0.9789505461531425
2013-05-25 2013-05-27 成都 CO: 0.36059160787801986
2013-05-25 2013-05-27 成都 SO2: 0.1697383531739598
2013-05-25 2013-05-27 成都 NO2: 0.34122610271780235
2013-05-25 2013-05-27 成都 O3: -0.24246776636894038
2013-05-25 2013-05-27 成都 PM10: 0.3182754643696626
2013-05-25 2013-05-27 西安 CO: 0.0842179576962196
2013-05-25 2013-05-27 西安 SO2: 0.593995299886023
2013-05-25 2013-05-27 西安 NO2: 0.43067277044044533
2013-05-25 2013-05-27 西安 O3: -0.3880390204007534
2013-05-25 2013-05-27 西安 PM10: 0.8039380029699786
2013-05-25 2013-05-27 邯郸 CO: 0.6454063141820401
2013-05-25 2013-05-27 邯郸 SO2: 0.052897101254268046
2013-05-25 2013-05-27 邯郸 NO2: 0.2514510891868035
2013-05-25 2013-05-27 邯郸 O3: -0.3812755911951205
2013-05-25 2013-05-27 邯郸 PM10: 0.8994512279990299
2013-05-25 2013-05-27 石家庄 CO: 0.6469057297125621
2013-05-25 2013-05-27 石家庄 SO2: -0.11575449445877234
2013-05-25 2013-05-27 石家庄 NO2: 0.3635197681352206
2013-05-25 2013-05-27 石家庄 O3: -0.4640560413639911
2013-05-25 2013-05-27 石家庄 PM10: 0.477197907437472
2013-05-25 2013-05-27 保定 CO: 0.6984180655864028
2013-05-25 2013-05-27 保定 SO2: 0.10105958844482535
2013-05-25 2013-05-27 保定 NO2: 0.6558561893831486
2013-05-25 2013-05-27 保定 O3: -0.5483431645122863
2013-05-25 2013-05-27 保定 PM10: 0.7558243127777594
2013-05-25 2013-05-27 张家口 CO: 0.5807736858666287
2013-05-25 2013-05-27 张家口 SO2: 0.10866073346544455
2013-05-25 2013-05-27 张家口 NO2: -0.44673743541307154
2013-05-25 2013-05-27 张家口 O3: 0.3945608625542232
2013-05-25 2013-05-27 张家口 PM10: 0.6403160401454819
2013-05-25 2013-05-27 承德 CO: 0.8440520010531264
2013-05-25 2013-05-27 承德 SO2: 0.45291604055807133
2013-05-25 2013-05-27 承德 NO2: 0.604614579854964
2013-05-25 2013-05-27 承德 O3: -0.024038562672376303
2013-05-25 2013-05-27 承德 PM10: 0.8729144765415716
2013-05-25 2013-05-27 唐山 CO: 0.6519404052965907
2013-05-25 2013-05-27 唐山 SO2: 0.7210178159764216
2013-05-25 2013-05-27 唐山 NO2: 0.7050017780332076
2013-05-25 2013-05-27 唐山 O3: -0.3956088647151406
2013-05-25 2013-05-27 唐山 PM10: 0.5486921905407625
2013-05-25 2013-05-27 廊坊 CO: 0.5549397278533154
2013-05-25 2013-05-27 廊坊 SO2: 0.31221664726674825
2013-05-25 2013-05-27 廊坊 NO2: -0.07749302857492167
2013-05-25 2013-05-27 廊坊 O3: -0.27095508650223643
2013-05-25 2013-05-27 廊坊 PM10: 0.7444902529557361
2013-05-25 2013-05-27 沧州 CO: 0.6365858306911909
2013-05-25 2013-05-27 沧州 SO2: 0.34874186526202644
2013-05-25 2013-05-27 沧州 NO2: 0.6606159095803501
2013-05-25 2013-05-27 沧州 O3: -0.6937847360891826
2013-05-25 2013-05-27 沧州 PM10: 0.2147793279230269
2013-05-25 2013-05-27 衡水 CO: 0.7597002510199498
2013-05-25 2013-05-27 衡水 SO2: 0.1399625197087664
2013-05-25 2013-05-27 衡水 NO2: 0.6238851033133581
2013-05-25 2013-05-27 衡水 O3: -0.5101101252716481
2013-05-25 2013-05-27 衡水 PM10: 0.7422373228114238
2013-05-25 2013-05-27 邢台 CO: 0.6688767085568359
2013-05-25 2013-05-27 邢台 SO2: -0.4614965804561469
2013-05-25 2013-05-27 邢台 NO2: 0.16648424394023545
2013-05-25 2013-05-27 邢台 O3: -0.37591245190102934
2013-05-25 2013-05-27 邢台 PM10: 0.19270767665911284
2013-05-25 2013-05-27 秦皇岛 CO: 0.3829119775119783
2013-05-25 2013-05-27 秦皇岛 SO2: -0.2968847927081205
2013-05-25 2013-05-27 秦皇岛 NO2: -0.16631150617552168
2013-05-25 2013-05-27 秦皇岛 O3: 0.10189350710993098
2013-05-25 2013-05-27 秦皇岛 PM10: 0.524448266083884
2013-05-25 2013-05-27 太原 CO: 0.6845831883486063
2013-05-25 2013-05-27 太原 SO2: 0.17315451622050274
2013-05-25 2013-05-27 太原 NO2: 0.3627049332497398
2013-05-25 2013-05-27 太原 O3: -0.1638404934965486
2013-05-25 2013-05-27 太原 PM10: 0.8769623867340572
2013-05-25 2013-05-27 郑州 CO: 0.29884589257061844
2013-05-25 2013-05-27 郑州 SO2: 0.43406357258598727
2013-05-25 2013-05-27 郑州 NO2: 0.5934751399111791
2013-05-25 2013-05-27 郑州 O3: -0.7433989146275695
2013-05-25 2013-05-27 郑州 PM10: 0.7617406992604262
2013-05-25 2013-05-27 大连 CO: 0.20002251182041642
2013-05-25 2013-05-27 大连 SO2: -0.08794311224195488
2013-05-25 2013-05-27 大连 NO2: -0.23471774614682506
2013-05-25 2013-05-27 大连 O3: 0.670994056912146
2013-05-25 2013-05-27 大连 PM10: 0.9222311109949671
2013-05-25 2013-05-27 长春 CO: 0.624121092959006
2013-05-25 2013-05-27 长春 SO2: 0.3364450156185512
2013-05-25 2013-05-27 长春 NO2: 0.3423659426776365
2013-05-25 2013-05-27 长春 O3: -0.3856692625386731
2013-05-25 2013-05-27 长春 PM10: 0.6625558475431533
2013-05-25 2013-05-27 哈尔滨 CO: 0.619382421550913
2013-05-25 2013-05-27 哈尔滨 SO2: 0.25895340958972307
2013-05-25 2013-05-27 哈尔滨 NO2: -0.02799545917424535
2013-05-25 2013-05-27 哈尔滨 O3: -0.13984320455408192
2013-05-25 2013-05-27 哈尔滨 PM10: 0.8991232223654368
2013-05-25 2013-05-27 呼和浩特 CO: 0.3344626836732809
2013-05-25 2013-05-27 呼和浩特 SO2: 0.5471824744088106
2013-05-25 2013-05-27 呼和浩特 NO2: -0.01287178565627201
2013-05-25 2013-05-27 呼和浩特 O3: -0.021978714905643102
2013-05-25 2013-05-27 呼和浩特 PM10: 0.11367170083245631
2013-05-25 2013-05-27 无锡 CO: -0.023970305057597528
2013-05-25 2013-05-27 无锡 SO2: -0.14540046961185452
2013-05-25 2013-05-27 无锡 NO2: -0.20501758894735633
2013-05-25 2013-05-27 无锡 O3: 0.4743812151437664
2013-05-25 2013-05-27 无锡 PM10: 0.47595968258024796
2013-05-25 2013-05-27 镇江 CO: 0.4320454686954032
2013-05-25 2013-05-27 镇江 SO2: 0.5870928799921525
2013-05-25 2013-05-27 镇江 NO2: 0.5872653166713692
2013-05-25 2013-05-27 镇江 O3: 0.49308234751009206
2013-05-25 2013-05-27 镇江 PM10: 0.6775343316050447
2013-05-25 2013-05-27 苏州 CO: 0.5362023398706898
2013-05-25 2013-05-27 苏州 SO2: 0.15900959918217342
2013-05-25 2013-05-27 苏州 NO2: -0.16418261944816842
2013-05-25 2013-05-27 苏州 O3: 0.28996127122103116
2013-05-25 2013-05-27 苏州 PM10: 0.7848845942335559
2013-05-25 2013-05-27 南通 CO: 0.46662933197703693
2013-05-25 2013-05-27 南通 SO2: -0.03168029423417676
2013-05-25 2013-05-27 南通 NO2: -0.2395402921917443
2013-05-25 2013-05-27 南通 O3: 0.01669401495953945
2013-05-25 2013-05-27 南通 PM10: 0.41296592203591914
2013-05-25 2013-05-27 扬州 CO: 0.8192391213745958
2013-05-25 2013-05-27 扬州 SO2: 0.6704075775037698
2013-05-25 2013-05-27 扬州 NO2: 0.7718761774943773
2013-05-25 2013-05-27 扬州 O3: 0.22072949189214983
2013-05-25 2013-05-27 扬州 PM10: 0.9288310160522822
2013-05-25 2013-05-27 盐城 CO: 0.5928186811509667
2013-05-25 2013-05-27 盐城 SO2: 0.29907770580078885
2013-05-25 2013-05-27 盐城 NO2: 0.43956949845554993
2013-05-25 2013-05-27 盐城 O3: -0.05177363959800602
2013-05-25 2013-05-27 盐城 PM10: 0.6647858536551094
2013-05-25 2013-05-27 徐州 CO: 0.6839803930674222
2013-05-25 2013-05-27 徐州 SO2: 0.7023869481843197
2013-05-25 2013-05-27 徐州 NO2: 0.45224063036683865
2013-05-25 2013-05-27 徐州 O3: 0.25117802708907094
2013-05-25 2013-05-27 徐州 PM10: 0.9857501902845588
2013-05-25 2013-05-27 淮安 CO: 0.2970471397517187
2013-05-25 2013-05-27 淮安 SO2: 0.40458740259694476
2013-05-25 2013-05-27 淮安 NO2: 0.13622886011706126
2013-05-25 2013-05-27 淮安 O3: 0.20019818964378921
2013-05-25 2013-05-27 淮安 PM10: 0.9763888357002715
2013-05-25 2013-05-27 连云港 CO: 0.8669336980199056
2013-05-25 2013-05-27 连云港 SO2: 0.6400861180790204
2013-05-25 2013-05-27 连云港 NO2: 0.6009020619190469
2013-05-25 2013-05-27 连云港 O3: -0.06579589721688009
2013-05-25 2013-05-27 连云港 PM10: 0.9710024388360361
2013-05-25 2013-05-27 常州 CO: 0.12214640466388431
2013-05-25 2013-05-27 常州 SO2: 0.082193265178114
2013-05-25 2013-05-27 常州 NO2: 0.29193622403594605
2013-05-25 2013-05-27 常州 O3: 0.3389134714843271
2013-05-25 2013-05-27 常州 PM10: 0.827890849019076
2013-05-25 2013-05-27 泰州 CO: 0.6958344116227219
2013-05-25 2013-05-27 泰州 SO2: 0.4932711649856798
2013-05-25 2013-05-27 泰州 NO2: 0.6728308864336888
2013-05-25 2013-05-27 泰州 O3: 0.022873921192032156
2013-05-25 2013-05-27 泰州 PM10: 0.8253389379645839
2013-05-25 2013-05-27 宿迁 CO: 0.362323220211568
2013-05-25 2013-05-27 宿迁 SO2: -0.050173665086572776
2013-05-25 2013-05-27 宿迁 NO2: 0.2695149390592567
2013-05-25 2013-05-27 宿迁 O3: 0.21673318940530487
2013-05-25 2013-05-27 宿迁 PM10: 0.33748694216895325
2013-05-25 2013-05-27 济南 CO: 0.5408287039767657
2013-05-25 2013-05-27 济南 SO2: 0.17886114175289514
2013-05-25 2013-05-27 济南 NO2: 0.3438345304190039
2013-05-25 2013-05-27 济南 O3: 0.2565615774349097
2013-05-25 2013-05-27 济南 PM10: 0.8766174396324324
2013-05-25 2013-05-27 青岛 CO: 0.7507527130793031
2013-05-25 2013-05-27 青岛 SO2: 0.7763866001833769
2013-05-25 2013-05-27 青岛 NO2: 0.726491119468548
2013-05-25 2013-05-27 青岛 O3: -0.48587521228081515
2013-05-25 2013-05-27 青岛 PM10: 0.9329268516069109
2013-05-25 2013-05-27 合肥 CO: 0.9393717989262924
2013-05-25 2013-05-27 合肥 SO2: 0.7879480337732958
2013-05-25 2013-05-27 合肥 NO2: 0.7945138054063322
2013-05-25 2013-05-27 合肥 O3: 0.424087316790313
2013-05-25 2013-05-27 合肥 PM10: 0.8130638516806135
2013-05-25 2013-05-27 衢州 CO: 0.725980858282088
2013-05-25 2013-05-27 衢州 SO2: 0.5408609787756009
2013-05-25 2013-05-27 衢州 NO2: 0.6515445921078471
2013-05-25 2013-05-27 衢州 O3: -0.6739039300938178
2013-05-25 2013-05-27 衢州 PM10: 0.3991778508479308
2013-05-25 2013-05-27 杭州 CO: 0.7675277609159759
2013-05-25 2013-05-27 杭州 SO2: 0.7621461093237769
2013-05-25 2013-05-27 杭州 NO2: 0.6055957142945791
2013-05-25 2013-05-27 杭州 O3: 0.14973375609446754
2013-05-25 2013-05-27 杭州 PM10: 0.7728691934134873
2013-05-25 2013-05-27 湖州 CO: 0.9172648973462844
2013-05-25 2013-05-27 湖州 SO2: 0.14204752057451217
2013-05-25 2013-05-27 湖州 NO2: 0.5274281869253338
2013-05-25 2013-05-27 湖州 O3: 0.12646902747871544
2013-05-25 2013-05-27 湖州 PM10: 0.967405410198353
2013-05-25 2013-05-27 嘉兴 CO: 0.8965099282573241
2013-05-25 2013-05-27 嘉兴 SO2: 0.1670926927091762
2013-05-25 2013-05-27 嘉兴 NO2: 0.5280021246078834
2013-05-25 2013-05-27 嘉兴 O3: 0.19327554460449514
2013-05-25 2013-05-27 嘉兴 PM10: 0.8658924299120847
2013-05-25 2013-05-27 宁波 CO: 0.09182463018424654
2013-05-25 2013-05-27 宁波 SO2: -0.11133746920438026
2013-05-25 2013-05-27 宁波 NO2: -0.457143030098173
2013-05-25 2013-05-27 宁波 O3: 0.21735523993426395
2013-05-25 2013-05-27 宁波 PM10: 0.9195541108455199
2013-05-25 2013-05-27 绍兴 CO: 0.5179728608423116
2013-05-25 2013-05-27 绍兴 SO2: 0.3895994294914113
2013-05-25 2013-05-27 绍兴 NO2: 0.20159375524055484
2013-05-25 2013-05-27 绍兴 O3: 0.531263317325206
2013-05-25 2013-05-27 绍兴 PM10: 0.9573533447288358
2013-05-25 2013-05-27 台州 CO: 0.20034489101486008
2013-05-25 2013-05-27 台州 SO2: 0.15839800223715864
2013-05-25 2013-05-27 台州 NO2: 0.14047843122851741
2013-05-25 2013-05-27 台州 O3: -0.25873838955735995
2013-05-25 2013-05-27 台州 PM10: 0.9587512518078065
2013-05-25 2013-05-27 温州 CO: 0.2946595786164619
2013-05-25 2013-05-27 温州 SO2: 0.18215031700932166
2013-05-25 2013-05-27 温州 NO2: -0.0799985370301037
2013-05-25 2013-05-27 温州 O3: -0.16719059739105102
2013-05-25 2013-05-27 温州 PM10: 0.9097293902193897
2013-05-25 2013-05-27 丽水 CO: 0.44502204243353105
2013-05-25 2013-05-27 丽水 SO2: 0.1635436570745577
2013-05-25 2013-05-27 丽水 NO2: 0.3808140708638688
2013-05-25 2013-05-27 丽水 O3: -0.10920797190234102
2013-05-25 2013-05-27 丽水 PM10: 0.6894034267951051
2013-05-25 2013-05-27 金华 CO: 0.5881737852527498
2013-05-25 2013-05-27 金华 SO2: 0.6069762867364006
2013-05-25 2013-05-27 金华 NO2: 0.5438760513212901
2013-05-25 2013-05-27 金华 O3: 0.150778328463697
2013-05-25 2013-05-27 金华 PM10: 0.924711507427651
2013-05-25 2013-05-27 舟山 CO: -0.28790327601550364
2013-05-25 2013-05-27 舟山 SO2: 0.09165645996149227
2013-05-25 2013-05-27 舟山 NO2: 0.1594049051106728
2013-05-25 2013-05-27 舟山 O3: 0.20555457683142964
2013-05-25 2013-05-27 舟山 PM10: -0.06856533538549264
2013-05-25 2013-05-27 福州 CO: 0.45674726746373584
2013-05-25 2013-05-27 福州 SO2: 0.7369842987198667
2013-05-25 2013-05-27 福州 NO2: 0.7925724718061662
2013-05-25 2013-05-27 福州 O3: -0.27208329335904075
2013-05-25 2013-05-27 福州 PM10: 0.9181659635487573
2013-05-25 2013-05-27 厦门 CO: 0.43878598918759487
2013-05-25 2013-05-27 厦门 SO2: 0.3807256959989535
2013-05-25 2013-05-27 厦门 NO2: 0.192075566190345
2013-05-25 2013-05-27 厦门 O3: 0.47548257187451265
2013-05-25 2013-05-27 厦门 PM10: 0.862705454805607
2013-05-25 2013-05-27 长沙 CO: 0.34171043778634785
2013-05-25 2013-05-27 长沙 SO2: 0.5993261205300574
2013-05-25 2013-05-27 长沙 NO2: 0.6452638397668171
2013-05-25 2013-05-27 长沙 O3: 0.42574280660426295
2013-05-25 2013-05-27 长沙 PM10: 0.932327322309735
2013-05-25 2013-05-27 湘潭 CO: 0.6357917794346338
2013-05-25 2013-05-27 湘潭 SO2: 0.7820162608693605
2013-05-25 2013-05-27 湘潭 NO2: 0.7709265985999123
2013-05-25 2013-05-27 湘潭 O3: 0.03988223353974915
2013-05-25 2013-05-27 湘潭 PM10: 0.9537901231102819
2013-05-25 2013-05-27 株洲 CO: 0.7638850088662923
2013-05-25 2013-05-27 株洲 SO2: 0.016122565441297865
2013-05-25 2013-05-27 株洲 NO2: 0.5811699763375248
2013-05-25 2013-05-27 株洲 O3: 0.3111189428954552
2013-05-25 2013-05-27 株洲 PM10: 0.9132733594482931
2013-05-25 2013-05-27 江门 CO: 0.34592099104688817
2013-05-25 2013-05-27 江门 SO2: 0.8278646578028862
2013-05-25 2013-05-27 江门 NO2: 0.8110679636378042
2013-05-25 2013-05-27 江门 O3: -0.38985944319762567
2013-05-25 2013-05-27 江门 PM10: 0.5130127042027913
2013-05-25 2013-05-27 惠州 CO: 0.034324207058815656
2013-05-25 2013-05-27 惠州 SO2: 0.22737515987321544
2013-05-25 2013-05-27 惠州 NO2: -0.16334152875344313
2013-05-25 2013-05-27 惠州 O3: 0.10025359294740996
2013-05-25 2013-05-27 惠州 PM10: 1.4859463545559572E-4
2013-05-25 2013-05-27 深圳 CO: 0.5429682581947163
2013-05-25 2013-05-27 深圳 SO2: 0.26610415085515304
2013-05-25 2013-05-27 深圳 NO2: 0.32768148806810254
2013-05-25 2013-05-27 深圳 O3: -0.6160542381992371
2013-05-25 2013-05-27 深圳 PM10: 0.9021655943444925
2013-05-25 2013-05-27 珠海 CO: 0.2566221779278722
2013-05-25 2013-05-27 珠海 SO2: 0.506024955242591
