train	1	2	3	4	5	6	7	8	9	10	Avg	Std
5.21-5.28(1600)	25.69044038	25.28106417	24.4834432	25.57873661	25.15550255	24.84938455	25.54553147	25.65701505	25.20464632	25.09551252	25.25412768	0.385689193
5.29-6.4(1670)	34.92015623	34.39509182	34.31403872	33.73158065	34.12104428	34.57083912	34.49472995	34.83569096	34.54010261	34.8637786	34.4787053	0.365655748
6.5-6.11(1680)	37.22285826	35.74492383	35.60075864	36.2312334	35.41068544	36.91882464	36.17092472	35.75615551	35.42599581	37.10418812	36.15865484	0.69526279
6.12-6.18(1680)	42.94988117	43.0521697	43.33393795	43.11651663	43.83234712	43.07378729	43.403014	43.98873985	43.35745592	43.04488832	43.31527379	0.350303256
6.19-6.25(1660)	38.144322	39.19783193	39.39767594	38.41821752	38.38841004	37.74295433	38.2847627	38.36162731	38.14959796	38.12804797	38.42134477	0.502913151
6.26-7.19(1890)	61.44115634	60.34625036	63.15219223	60.69802962	60.23906443	59.69110661	60.2674066	59.98587388	60.10980121	60.64301898	60.65739003	0.997138581
7.20-7.27(1890)	28.90937613	28.83780362	29.39893943	29.63294783	28.99569782	29.14401762	29.38700008	29.34392826	28.99392641	29.30467363	29.19483108	0.257419386


test东四 天坛	1	2	3	4	5	6	7	8	9	10	Avg	Std
5.21-5.28(320)	32.15806774	36.70492598	33.88187874	31.98375245	34.2579848	33.98859623	33.27796296	33.19149501	33.35598459	32.45717964	33.52578281	1.357140823
5.29-6.4(334)	72.70539187	59.75817651	59.27056615	66.95875649	60.13955103	60.01943423	59.70115118	63.90847812	58.98513913	66.56173942	62.80083841	4.612381881
6.5-6.11(336)	53.61166144	44.40827552	39.76903409	46.99500827	42.86714531	41.46177183	47.14238381	41.88620824	43.107445	53.78669332	45.50356268	4.892846685
6.12-6.18(336)	55.57631515	60.0873661	54.87941193	51.4152	        53.66597975	57.57151278	54.48570175	53.65020017	60.88880716	58.24121093	56.04617057	3.051343697
6.19-6.25(332)	54.09134368	62.03986575	56.02259088	54.58636615	58.81083933	67.22397889	59.2292689	61.26221333	67.55776247	70.5260549	61.13502843	5.725405174
6.26-7.19(378)	112.3225294	104.579536	120.3155365	109.7131101	108.588424	108.1885179	109.9671192	125.0531124	107.9453333	109.5872724	111.6260491	6.245808398
7.20-7.27(378)	42.27335994	41.17964999	35.60812994	41.96948097	41.64421858	41.99449671	39.39780383	45.26483936	39.67648468	37.42501824	40.64334822	2.730201191


train	1	2	3	4	5	6	7	8	9	10	Avg	Std
5.21-5.28(959)	18.51898861	18.22882741	17.68059884	17.93352868	17.76919954	17.77171349	18.0242188	18.21433847	18.0639189	17.79883124	18.0004164	0.263441026
5.29-6.4(1119)	21.57979533	21.62935788	21.67866385	21.63046709	21.70097295	22.11724272	21.71632453	21.49533206	21.41749857	21.84244513	21.68081001	0.193618335
6.5-6.11(640)	12.6477891	11.63619227	11.91514613	12.20604712	11.77756585	12.11154902	12.26405131	12.12514563	12.40788623	11.90778118	12.09991538	0.302579959
6.12-6.18(658)	20.45664952	20.73380909	20.67116423	20.58039612	20.76562386	20.57541283	20.39425311	20.44715776	20.47497882	20.57970694	20.56791523	0.126218063
6.19-6.25(550)	16.55458859	16.51810577	16.68387612	16.73919879	16.70739991	16.79800574	16.46064316	16.68968953	16.55717011	16.29715328	16.6005831	0.151632983
6.26-7.19(378)	17.09269735	16.61233333	17.33411257	17.16389559	16.80542491	16.64361768	16.79085781	17.10478412	17.04199902	17.05080568	16.96405281	0.237669785
7.20-7.27(626)	18.43282208	18.5269769	18.32905332	18.36249432	18.20232916	18.70498444	18.23551879	17.93655532	18.26258501	19.37567222	18.43689916	0.387981748


test怀柔镇 奥体中心	1	2	3	4	5	6	7	8	9	10	Avg	Std
5.21-5.28(225)	18.42722275	19.13050498	18.92896833	20.2590404	20.22285302	19.13261803	21.75330815	20.36292853	20.15293803	19.20717804	19.75775603	0.97278623
5.29-6.4(260)	39.59266648	37.55762356	28.88416753	35.31282531	33.96488797	28.65080415	43.69852361	42.89587981	43.06451514	40.87504458	37.44969381	5.618133549
6.5-6.11(190)	15.02777649	22.32169578	14.5159923	13.07537548	21.0013157	20.57940492	17.66167958	22.3562214	15.50361469	21.57938408	18.36224604	3.59606981
6.12-6.18(222)	24.44700227	25.65986374	23.39229058	24.88158862	24.5267551	24.39691685	25.43010646	23.79242817	25.29912654	24.3989884	24.62250667	0.714652076
6.19-6.25(107)	28.24371574	27.55281035	30.54853549	24.89211766	25.69319915	23.72523257	27.89187002	32.43610011	27.39630812	30.91815664	27.92980458	2.759424113
6.26-7.19(210)	35.29379586	34.19670605	35.86658076	38.71923385	38.56332355	41.60305374	36.31880607	39.18837067	37.76040351	37.97174485	37.54820189	2.17082467
7.20-7.27(243)	41.13987467	46.79610064	46.97379235	36.54134175	37.20757284	26.31683095	44.43640746	49.53956213	37.32229464	20.45698202	38.67307594	9.34098793
